,artist,track,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
6966,Statistix,Pizza,spotify:track:7j1Y0cl0RqV74Gl0eSvDgS,59,2018,0.842,0.29,11,-12.099,0,0.121,0.228,0.904,0.114,0.405,79.985,audio_features,212079,4
6967,Gyvus,Venice,spotify:track:5VmL8CrjM82tIGWwum8Cbo,61,2018,0.881,0.561,8,-7.351,1,0.139,0.333,0.88,0.148,0.801,95.011,audio_features,156632,4
6968,SHRK,I'll Bite Your Soul,spotify:track:10t9p2XNT2Q9KFTT0GXyUm,60,2018,0.79,0.376,4,-16.868,0,0.0706,0.737,0.356,0.138,0.2,101.958,audio_features,123180,4
6969,Lil Mosey,Rarri,spotify:track:6k4Yu26JgigTt7ghkP1FDb,59,2018,0.763,0.583,1,-7.315,0,0.0838,0.0977,1.45e-06,0.15,0.809,82.982,audio_features,105347,4
6970,Noname,Ace,spotify:track:06fNR3xo4ksfvM4UTeEoZJ,57,2018,0.686,0.509,10,-9.173,1,0.404,0.864,0.0,0.12,0.651,106.889,audio_features,182752,4
6971,City Girl,Ji-Eun's Sunset,spotify:track:0DvqAXyoA7zRB8wgH0DjRO,60,2018,0.931,0.517,4,-8.476,1,0.105,0.0923,0.821,0.114,0.171,118.021,audio_features,168814,4
6972,Ozuna,Pasado y Presente,spotify:track:6NPjHwhEG7eQUQBoPFBrnz,62,2018,0.882,0.695,0,-2.866,1,0.0535,0.129,0.00109,0.0906,0.97,127.988,audio_features,221387,4
6973,grandson,Overdose,spotify:track:7a1D98IVXyVBKsq40imjyg,57,2018,0.529,0.686,4,-5.869,0,0.0579,0.00251,0.0965,0.22,0.116,144.033,audio_features,231213,4
6974,Lucas & Steve,Where Have You Gone (Anywhere),spotify:track:3zECQWhwAEydeK9jUTPamo,70,2018,0.618,0.767,5,-5.024,1,0.0489,0.00552,0.0,0.147,0.239,124.071,audio_features,158602,4
6975,Tyla Yaweh,She Bad,spotify:track:23dK8Cue1FvIDX4yRtXkNO,59,2018,0.679,0.526,4,-7.641,0,0.172,0.197,0.0,0.0792,0.231,105.133,audio_features,221714,4
6976,03 Greedo,Rude,spotify:track:6A8KuRrV72ZP4MneZRCsSm,55,2018,0.585,0.65,8,-6.316,0,0.0657,0.0124,0.0,0.112,0.733,189.923,audio_features,154105,4
6977,Charlie Puth,Patient,spotify:track:2ZrHbO88rM6Ijeg0aJmSzl,65,2018,0.675,0.604,1,-6.266,1,0.193,0.752,0.0,0.111,0.456,168.034,audio_features,190533,4
6978,Zak Abel,You Come First (feat. Saweetie),spotify:track:5Ef2noaxqTAfa5gLVw05OJ,64,2018,0.745,0.719,11,-4.291,1,0.19,0.0352,0.0,0.0639,0.611,99.962,audio_features,191255,4
6979,Curlybamm,I'm Sorry,spotify:track:5hxrXwPN769VM5RxWkQjRm,58,2018,0.4,0.327,9,-15.746,0,0.0924,0.547,0.0,0.0758,0.553,94.667,audio_features,178469,4
6980,Papithbk,WHY AM I Waiting,spotify:track:47QVAwFA8lGN4xRpT2ireK,59,2018,0.861,0.398,5,-10.159,0,0.362,0.274,0.0,0.27,0.248,126.197,audio_features,95556,4
6981,Journey,Don't Stop Believin',spotify:track:3DtK601PJiNPe8COo67unB,63,2018,0.49,0.723,4,-9.699,1,0.0408,0.242,0.0,0.371,0.485,119.022,audio_features,249653,4
6982,Tyler Braden,Leave Me Alone,spotify:track:6OI4kx6HcKUAgZKGr9IlXg,56,2018,0.403,0.617,0,-7.02,0,0.0337,0.00783,0.0,0.148,0.204,150.064,audio_features,196592,4
6983,Disclosure,Where Angels Fear To Tread,spotify:track:1ZqeykOaDmjkldzs7XGR4b,62,2018,0.679,0.735,2,-6.218,0,0.136,0.23,0.602,0.148,0.603,107.998,audio_features,225907,4
6984,JayDaYoungan,Catch Me In Traffic,spotify:track:027onM1IInwLqghznNadYS,55,2018,0.894,0.665,10,-7.426,1,0.108,0.1,0.0,0.32,0.34,136.029,audio_features,161153,4
6985,Carrie Underwood,Love Wins,spotify:track:4XWnHzCRfRjaHRsTNeh3WR,57,2018,0.523,0.865,7,-4.697,1,0.0989,0.0112,0.0,0.153,0.325,135.115,audio_features,228640,4
6986,YoungBoy Never Broke Again,This for the,spotify:track:4EnyN8CIx6P7r9sP7yHcmE,55,2018,0.815,0.746,7,-3.208,0,0.13,0.305,0.0,0.113,0.501,144.058,audio_features,187199,4
6987,BTS,Intro: Singularity,spotify:track:6ePyl2ns4b7MVYhjsj32ZK,63,2018,0.775,0.271,1,-9.131,0,0.092,0.554,0.00285,0.112,0.204,104.001,audio_features,196998,3
6988,Shawn Mendes,Because I Had You,spotify:track:1RRZSm4akqNyMOsPUhw4cb,64,2018,0.559,0.337,7,-9.751,1,0.404,0.331,0.0,0.311,0.705,203.231,audio_features,142480,4
6989,Muscadine Bloodline,Can't Tell You No,spotify:track:53M7wnBlXEIhTZ1VE4EuWp,55,2018,0.869,0.474,6,-7.788,1,0.0438,0.522,0.0,0.126,0.65,139.97,audio_features,191453,4
6990,A Boogie Wit da Hoodie,Need a Best Friend (feat. Lil Quee and Quando Rondo),spotify:track:0sSl9LFCzQAunHx9T1Un3O,58,2018,0.696,0.52,0,-6.361,1,0.294,0.06,0.0,0.118,0.359,165.105,audio_features,204329,4
